"","ID","B_cells_naive_CIBERSORT","B_cells_memory_CIBERSORT","Plasma_cells_CIBERSORT","T_cells_CD8_CIBERSORT","T_cells_CD4_naive_CIBERSORT","T_cells_CD4_memory_resting_CIBERSORT","T_cells_CD4_memory_activated_CIBERSORT","T_cells_follicular_helper_CIBERSORT","T_cells_regulatory_(Tregs)_CIBERSORT","T_cells_gamma_delta_CIBERSORT","NK_cells_resting_CIBERSORT","NK_cells_activated_CIBERSORT","Monocytes_CIBERSORT","Macrophages_M0_CIBERSORT","Macrophages_M1_CIBERSORT","Macrophages_M2_CIBERSORT","Dendritic_cells_resting_CIBERSORT","Dendritic_cells_activated_CIBERSORT","Mast_cells_resting_CIBERSORT","Mast_cells_activated_CIBERSORT","Eosinophils_CIBERSORT","Neutrophils_CIBERSORT","P-value_CIBERSORT","Correlation_CIBERSORT","RMSE_CIBERSORT"
"12","TCGA-OR-A5LN-01A",0.0124582300284717,0.0144882441626381,0,0.260258767860494,0,0.182985153226124,0,0.0194535032561999,0.0213895014641916,0.0254350435370611,0,0.0394307703389006,0.0721208493261416,0,0.0667111397404831,0.227357051596148,0,0.00889168824513381,0.0490200572180132,0,0,0,0.055,0.117120173829784,1.04840161783022
"13","TCGA-OR-A5LL-01A",0,0.00812300044510376,0.0205312133106222,0.0604189457777508,0,0.418227847562605,0,0,0,0,0.0475985236231658,0.0121802624719475,0.047652339612527,0,0,0.286511249630666,0,0.0648885498286519,0.0227922481941901,0,0.0110758195427692,0,0.185,0.0428103277509223,1.07464878665244
"14","TCGA-OR-A5K8-01A",0.0251883245857785,0,0.0384447456889595,0.090950852115161,0,0.378442777177877,0.0033979882105546,0,0,0,0.0678423666853928,0.0291488983623374,0.0629299246777357,0,0.0263817171451627,0.187687460669512,0.0133715700809473,0.00901888277812001,0.0382271513795517,0,0.0289673404429089,0,0.32,0.0207969413956428,1.08179465310037
"15","TCGA-OR-A5L3-01A",0,0.0195211789320774,0.0220155906357548,0.0686215113531398,0.0209476410932333,0.152389860368643,0,0,0,0,0,0.115075118942962,0.131597879253294,0,0,0.298113374604832,0,0.148704875277979,0,0.0230129695380856,0,0,0.505,0.00498481135218176,1.08549087088058
"16","TCGA-OR-A5JG-01A",0,0.0474931899968274,0.0172492899146203,0.0697385333863527,0.0319734240196979,0.306312300081431,0,0,0,0,0.0507841262693151,0,0.0473082595589989,0,0.0628495582704715,0.257522362004001,0,0.00342423273023693,0,0,0.105344723768047,0,0.105,0.080983034485491,1.05141262925437
"17","TCGA-OU-A5PI-01A",0,0.00818111406055643,0.00452848373555831,0.0861547689049803,0,0.39683731205548,0,0,0,0,0,0.0616484149547895,0.168900943506895,0,0.0102921520144297,0.247524312360924,0,0.00371614329187246,0,0,0.0122163551145146,0,0.31,0.0229031906584286,1.08994589403112
"18","TCGA-OR-A5KW-01A",0,0.0380734179774422,0.0139623518938716,0.0634228622685537,0,0.221309338058956,0,0,0.0743784115424971,0,0.125691009152693,0,0.0861399508024273,0.0373134056286749,0.00879002254597379,0.0935198523043942,0,0.105242817308768,0.0247868471838757,0,0.107369713331873,0,0.6,-0.00595388403038669,1.08081609452811
"19","TCGA-OR-A5JM-01A",0,0,0.0381957513800867,0.0999944221371899,0.0319808981502512,0.184666733950889,0,0.0337062040119898,0,0,0.0303890942418724,0,0.0375083608057396,0.0963096365935663,0,0.00714012478482841,0,0.283458408842615,0,0.144934139692599,0.0117162254083724,0,0.595,-0.00406160215264317,1.1063078060266
"20","TCGA-OR-A5L6-01A",0,0.0115780302260851,0.00560359205292088,0.00347159979407496,0,0.301779541183042,0,0,0,0,0.0794415587259096,0.0488439001732131,0.0220668926382018,0.145907609433212,0.000389629845539755,0.27220204786443,0,0.0563147110083383,0.0524008870550319,0,0,0,0.13,0.0725689590938591,1.06018281764616
"21","TCGA-OR-A5J9-01A",0,0.0630935776168129,0,0.137499443935427,0,0.119581051382094,0.0163971302181239,0,0,0,0.105061855602035,0,0.200782748440243,0,0.0333974847601991,0.288812547421842,0,0.0049416954837823,0,0.0181984609830029,0.0122340041564379,0,0.585,-0.00275310918414845,1.0854406766615
"22","TCGA-OR-A5K2-01A",0,0.000813819558986921,0.00759017314110773,0.024539420197029,0,0.173330065981681,0,0.0166252312964112,0,0,0,0.078079501967168,0.0793837683648781,0,0.00133220372761574,0.238283769641553,0,0.179833004663493,0,0.105558285168794,0.0946307562912824,0,0.5,0.00530180637785007,1.08433168412255
"23","TCGA-OR-A5LT-01A",0.0241754446213524,0,0,0.059484430830703,0.0130333787025794,0.294016325317537,0,0,0,0,0,0.0656866511757087,0.00847703550406887,0.0858647747088645,0.0288303388742156,0.362799352405229,0,0.0170712166800305,0.0405610511797111,0,0,0,0.185,0.0441324976983577,1.074977805461
"24","TCGA-OR-A5J5-01A",0.0401195211689461,0,0.0149623268303344,0.0325768669743212,0.0405047738852214,0.314756983816649,0,0,0,0,0.0742605603007308,0,0.0246082488317332,0.211177915406865,0.00034208991101842,0.219840682682756,0,0,0.0268500301914252,0,0,0,0.235,0.0346778164292813,1.08115039412416
"25","TCGA-OR-A5LH-01A",0.081390565131999,0,0.0148984422866824,0.120366030208303,0,0.186550064936789,0,0.00827509815911737,0,0.0513500395046623,0,0.049729541595727,0.117462888680705,0,0.0352569519173332,0.246231146698887,0,0.00741141301150947,0,0.0607327012489421,0.0203451166193432,0,0.315,0.0217666124288542,1.07467116243406
"26","TCGA-OR-A5JA-01A",0,0,0.0928036487265594,0.00935765664136803,0.037517152807697,0.136816120705672,0,0,0,0,0,0.0374716001481941,0.104398274967381,0.0977163001718365,0.00455982882706548,0.174024368376718,0.137256632778737,0.0431935984804454,0.0143482302653109,0,0.110536587103015,0,0.225,0.0374659596843998,1.05954077726484
"27","TCGA-OR-A5LJ-01A",0,0.0197595812141999,0.00878821556708585,0.295551981634001,0,0.0542525514966353,0,0.0520085039445924,0.0325166758017121,0,0.0159796411618938,0.0474012403696986,0.0578399996540223,0.102459259882279,0.0594209320711755,0,0,0.147546254023399,0.106475163179306,0,0,0,0.34,0.0186733525128136,1.09195803757366
