"","ID","B_cells_quantiseq","Macrophages_M1_quantiseq","Macrophages_M2_quantiseq","Monocytes_quantiseq","Neutrophils_quantiseq","NK_cells_quantiseq","T_cells_CD4_quantiseq","T_cells_CD8_quantiseq","Tregs_quantiseq","Dendritic_cells_quantiseq","Other_quantiseq"
"14","TCGA-OR-A5K1-01A",0.0123859361640237,0,0.00766113323071708,0.117039558195425,0,0.0262638836167912,0.0771337875857628,0.00203423021046868,0.0134863660532605,0.0241521872004448,0.719842917743106
"15","TCGA-PK-A5HA-01A",0.0184179848802441,0.013160543621489,0.0898234661247827,0.0677817998057201,0.00211292930134228,0.0223407006738785,0.00809765525073391,0.010900891807971,0.0243844089262946,0,0.742979619607544
"16","TCGA-OR-A5LN-01A",0.0288198631478829,0,0.0998128602551452,0.0340848262747665,0.0210817044219186,0.0235850656161703,0,0.019312082071477,0.0279430845761784,0,0.745360513636461
"17","TCGA-OR-A5LH-01A",0.0103032957648984,0,0.0380185714844863,0.154583727866414,0,0.00506827859569372,0.122866537350294,0.00772873931009686,0.0122063228109424,0,0.649224526817175
"18","TCGA-OR-A5JD-01A",0.0257671822270058,0.00176951755777582,0.0802192146713694,0.0415270870080729,0.0277024222391415,0.0272985730511258,0.0103066466635082,0.0101754527010193,0.0293459180962197,0,0.745887985784762
"19","TCGA-PK-A5H9-01A",0.0152195393410328,0,0.0970078747580465,0.0552632478436505,0.0393009739254855,0.0196828972739029,0,0.00180186992554965,0.0236989957056539,0.00445886086066658,0.743565740366012
"20","TCGA-OR-A5LR-01A",0.0101873194072463,0,0.0733843481733203,0,0.0175899900421887,0.019032375312301,0.0344534878676796,0.00152859193047691,0.0181035831004174,0.0142691788116872,0.811451125354683
"21","TCGA-OR-A5JR-01A",0.00759864055511722,0,0.0644297087648258,0.0309052552105514,0.0141066873467344,0.0158808579687341,0.10126220295734,0.00012983897141093,0.013866409364986,0,0.7518203988603
"22","TCGA-OR-A5L9-01A",0.0234290448374672,0.000661533384815145,0.0385202562630693,0.0278372259491655,0.0309354763032113,0.0222023732971843,0.0580085920856264,0.0120621982241221,0.0227379844898182,0.0161243382477444,0.747480976917776
"23","TCGA-OR-A5JV-01A",0.018811028717908,0.0551242294398503,0.275796507658896,0.0316949443690185,0,0.0172864406176828,0.0107983789973022,9.41243779173064e-05,0.0238200244052746,0,0.56657432141615
"24","TCGA-OR-A5JZ-01A",0.0171443207376965,0.00204421567295659,0.0378231279430926,0.0384705896615209,0.00988264494736587,0.0171888748858289,0.0319018562450945,0.000771857877728093,0.0180578622985246,0,0.826714649730191
"25","TCGA-OR-A5L4-01A",0.00475971018839329,0,0.0405854354134353,0.0133547221496486,0.0210458675111195,0.00618053016399689,0.0930521903765543,0,0.012367409485791,0.0154054613427244,0.793248673368337
"26","TCGA-OR-A5JT-01A",0.0144795067868759,0,0.0434737329713177,0.0332364181165617,0.00630595337262306,0.0167507179591278,0.0358581893743191,0,0.0126086074697057,0,0.837286873949469
"27","TCGA-OR-A5LT-01A",0.00859885166980307,0,0.054767579646324,0.00546113333909638,0.026027357189247,0.0164076006247497,0.0735302110518102,0,0.012537320518822,0,0.802669945960148
"28","TCGA-OR-A5K4-01A",0.0151342969171339,0,0.0226587728588059,0.0614645109232874,0,0.019518129728821,0.0546522097406519,0,0.00733931354690874,0,0.819232766284391
"29","TCGA-OR-A5L6-01A",0.0182849396063398,0,0.0293389167282382,0.0808860176466162,0,0.0166410014082493,0.054355433493352,0.00401381992894513,0.0121704227626626,0,0.784309448425597
"30","TCGA-PK-A5H8-01A",0.00913419733182046,0,0.0442635227667956,0.0978551166632356,0,0.00420562001027187,0.0914996002495621,0.000326280842284843,0.00914057750822752,0,0.743575084627802
"31","TCGA-OR-A5JJ-01A",0.0403820154650007,0,0.0535045740575976,0.0465037017469972,0.000231420066192345,0.0278248272418017,0,0.0101969790172231,0.0192763429188036,0.0265994134622059,0.775480726024178
"32","TCGA-OR-A5JL-01A",0.00452038240434042,0,0.0420405875562621,0.0973935049122727,0,0.00506697172980361,0.105470148547401,0.00268340394661295,0.0178187172081327,0,0.725006283695174
"33","TCGA-OR-A5KY-01A",0.109292814498943,0,0.0572546142643468,0,0,0.0127970343008392,0,0,0,0.102546570925742,0.71810896601013
"34","TCGA-OR-A5LC-01A",0.0261851794224449,0,0,0.150131268740791,0,0.0217231144160017,0.0118382745613494,0.00373046895140324,0.00874325175432855,0,0.777648442153681
"35","TCGA-OR-A5LJ-01A",0.0137874164958093,0,0.0231468618112096,0.0334504718160413,0.02507749298776,0.00140070731284045,0.222260947610032,0.0198243708421469,0.051790125617021,0.030764952757888,0.578496652749252
"36","TCGA-OR-A5JA-01A",0.00938178268251356,0,0.0327940234003997,0.0374221005420758,0.00423146582365429,0.00974877471278522,0.0567898590866902,0.00186000260050008,0.0101275883032826,0,0.837644402848098
