"","ID","Bcells_EPIC","CAFs_EPIC","CD4_Tcells_EPIC","CD8_Tcells_EPIC","Endothelial_EPIC","Macrophages_EPIC","NKcells_EPIC","otherCells_EPIC"
"12","TCGA-OR-A5LN-01A",0.0169026920537261,0.00853256623614017,0.101710552672506,0.0592020461132503,0.14020385726094,0.0129908490003556,2.32479593140088e-05,0.660434188703768
"13","TCGA-OR-A5LL-01A",0.0120184387932985,0.00904948585772899,0.157705560405487,0.0212568061206871,0.0856559909638192,0.00841230761263286,3.21630401303234e-10,0.705901409924716
"14","TCGA-OR-A5K8-01A",0.00792175805454905,0.0117130923604677,0.174175889871322,0.012229992013724,0.116105310699438,0.00734101847974143,6.12933427600083e-10,0.670512937907824
"15","TCGA-OR-A5L3-01A",0.00776480829467278,0.00539489235571544,0.104137961210688,0.033450698383409,0.0945223023949114,0.0105411567304461,6.04476566391682e-11,0.74418818056971
"16","TCGA-OR-A5JG-01A",0.00631928622733023,0.012491649903511,0.153607280019596,0.0050456300744349,0.124782007745598,0.00771592221893445,4.21184682783994e-10,0.690038223389411
"17","TCGA-OU-A5PI-01A",0.00747617443054793,0.0146202796932917,0.180348069507962,0.0198029355869618,0.103437426423333,0.00759050262884398,8.13293490791556e-11,0.66672461164773
"18","TCGA-OR-A5KW-01A",0.00608739937203844,0.0125720504932663,0.130871672369524,0.0286339858024381,0.112128766803528,0.00695643976193649,3.81755308047968e-10,0.702749685015514
"19","TCGA-OR-A5JM-01A",0.00488019300163901,0.0107398681057971,0.167023217582018,0.0133814368391707,0.0930346658196344,0.00476844679336582,1.54488762559551e-10,0.706172171703886
"20","TCGA-OR-A5L6-01A",0.0114772403688323,0.00961717999266162,0.165763701923268,0.0182329932483807,0.130047856890324,0.00885782351406798,0.000931836132991624,0.655071367929474
"21","TCGA-OR-A5J9-01A",0.013372622019226,0.00823097290724032,0.108079352632045,0.0349549095086062,0.15182654320549,0.00520497048813495,8.84074557211613e-10,0.678330628355183
"22","TCGA-OR-A5K2-01A",0.0106461463534351,0.00936393387681116,0.0956772045039115,0.0273634765086156,0.132654768429497,0.00959193474383391,6.76460540103368e-10,0.714702534907436
"23","TCGA-OR-A5LT-01A",0.00736303197155139,0.00802518349623677,0.146000377379633,0.00918115759111606,0.0726796974720473,0.00769140959515469,1.53649394056568e-09,0.749059140957767
"24","TCGA-OR-A5J5-01A",0.00523341312363588,0.00770822641014243,0.121766865298115,0.0157313052138489,0.0873803674012704,0.00730698891962351,1.51365852233646e-10,0.754872833481998
"25","TCGA-OR-A5LH-01A",0.0154866742097434,0.00860119526572389,0.0994641611566189,0.0400741738535842,0.135151615699198,0.0109545003294974,8.34665038739264e-10,0.690267678650969
"26","TCGA-OR-A5JA-01A",0.00914835648011134,0.0112733033021911,0.156300379225788,0.00849352418119332,0.101650780375148,0.00725435866724721,6.7695586435755e-09,0.705879290998762
"27","TCGA-OR-A5LJ-01A",0.0100867486923969,0.00694304471555212,0.137673768949154,0.0338186804884427,0.110232065088048,0.00768679718565362,2.03979994895599e-11,0.693558894860355
"28","TCGA-OR-A5JL-01A",0.0190526717410477,0.00724284290971301,0.167247736916374,0.0262788359714637,0.143668346804689,0.00950156106264635,1.52672992610106e-10,0.627008004441393
"29","TCGA-OR-A5JQ-01A",0.0290600888855444,0.0125166424022637,0.133385540305688,0.0453058852043011,0.137412669100061,0.010115298644961,4.48684258718087e-10,0.632203875008497
"30","TCGA-PK-A5HA-01A",0.0120000446567545,0.0154996859378286,0.170084103741568,0.0394848283698894,0.168468113324302,0.013525883624929,1.62348572286677e-09,0.580937338721243
"31","TCGA-OR-A5LO-01A",0.00665007795686148,0.0124455435410575,0.131538454796936,0.0162491038830967,0.111437275060312,0.00429924745615015,5.68783270989396e-10,0.717380296736802
"32","TCGA-OR-A5K0-01A",0.0398719677146762,0.00624766641333986,0.0793127061189187,0.0388453530732439,0.0703228799588322,0.0061677713768112,5.36743372777848e-10,0.759231654807435
"33","TCGA-OR-A5K6-01A",0.0100519076781998,0.00955361531746922,0.173200064062952,0.0191376156511985,0.117824694715024,0.010601731102864,8.28829665975339e-11,0.659630371389409
"34","TCGA-OR-A5LB-01A",0.0100304713435375,0.0105367577795244,0.102752049476373,0.0298249353728441,0.135886561755122,0.00564191733891701,8.86567187070314e-11,0.705327306845026
"35","TCGA-OR-A5J7-01A",0.00952825098623149,0.0102227485113126,0.110346312660036,0.0181226170984059,0.139134019384043,0.00606085402547431,8.17206902623014e-10,0.70658519651729
"36","TCGA-OR-A5LC-01A",0.00955421258584886,0.0171304538129826,0.0950557617227799,0.0403805250618329,0.130598176944051,0.00886447832216553,5.64258595883481e-10,0.698416390986081
"37","TCGA-OR-A5JK-01A",0.0316588034607887,0.0113859936606735,0.100972479698768,0.0904015925380005,0.130262303921423,0.0129305555198672,6.65196244060957e-10,0.622388270535283
"38","TCGA-PK-A5H9-01A",0.00914712776997062,0.0100854173085536,0.0987795687765341,0.0450549094869513,0.142822374501528,0.0116031221295768,2.02912316966231e-10,0.682507479823973
"39","TCGA-PK-A5H8-01A",0.00939005379592608,0.0086249978967751,0.125341453298569,0.0215558859849011,0.118515370550139,0.0105136520202716,7.26361015832223e-11,0.706058586380782
"40","TCGA-OR-A5LK-01A",0.025107681345061,0.00997194157629672,0.123491621677481,0.052499352846417,0.154509693650948,0.015396822508588,2.31342674259501e-11,0.619022886372074
"41","TCGA-OR-A5LP-01A",0.0140474698078506,0.0129827154790824,0.142714100482988,0.0276942580737342,0.158297665797148,0.0113486541382861,1.05768008512007e-10,0.632915136115143
