"","ID","StromalScore_estimate","ImmuneScore_estimate","ESTIMATEScore_estimate","TumorPurity_estimate"
"62","TCGA-OR-A5LR-01A",-568.554641477241,-264.865159132009,-833.419800609249,0.88576770379752
"63","TCGA-OR-A5LM-01A",-1092.23186132043,-633.541874843927,-1725.77373616435,0.938800955924707
"64","TCGA-OR-A5LD-01A",-1188.91637896808,-1122.98507562731,-2311.90145459539,0.964928123920068
"65","TCGA-OR-A5KY-01A",-381.983410856955,-340.276457874837,-722.259868731793,0.878076942368778
"66","TCGA-OR-A5LA-01A",-5.65229595969574,832.591033520922,826.938737561226,0.747588752493962
"67","TCGA-P6-A5OF-01A",-648.13365038565,-558.820185495635,-1206.95383588128,0.909872210029923
"68","TCGA-OR-A5LG-01A",-479.762158704939,63.3214679669745,-416.440690737964,0.855718487539431
"69","TCGA-OR-A5J1-01A",-997.716794932212,-372.447593727537,-1370.16438865975,0.919549816668839
"70","TCGA-OR-A5L4-01A",-458.434648442071,-381.542178684287,-839.976827126358,0.886214015324692
"71","TCGA-OR-A5KX-01A",-1310.08208182763,-689.123906061327,-1999.20598788896,0.951866649469391
"72","TCGA-OR-A5K1-01A",-611.100700291564,-164.020598601087,-775.12129889265,0.881763516574503
"73","TCGA-OR-A5L9-01A",-201.677381803064,843.675234097589,641.997852294525,0.765341200929137
"74","TCGA-OR-A5KT-01A",378.138345141455,952.963641185238,1331.10198632669,0.696435834385399
"75","TCGA-OR-A5J6-01A",-631.071644661801,328.516425015523,-302.555219646278,0.846949217137635
"76","TCGA-OR-A5KU-01A",-955.03140253364,-1101.6753099031,-2056.70671243674,0.954419812719661
