"","ID","B_cell_TIMER","T_cell_CD4_TIMER","T_cell_CD8_TIMER","Neutrophil_TIMER","Macrophage_TIMER","DC_TIMER"
"41","TCGA-OR-A5LP-01A",0.11491400724291,0.111231116524578,0.224903792637166,0.113560466295577,0.085773882700307,0.490665366563372
"42","TCGA-OR-A5JV-01A",0.116930613539648,0.113888919761104,0.225424355684089,0.128614056896541,0.10091070796113,0.489237231672824
"43","TCGA-OR-A5JE-01A",0.116565882632582,0.103310580932843,0.214075669598542,0.11291790566154,0.0803516040731592,0.484472663959864
"44","TCGA-OR-A5JR-01A",0.113341622764396,0.105197322382456,0.232430999638383,0.112054284317052,0.0849091475576567,0.486401558018876
"45","TCGA-OR-A5JB-01A",0.11214407860321,0.102096510364815,0.26652718053236,0.133003950883389,0.0893904739932472,0.508045405756165
"46","TCGA-OR-A5K4-01A",0.112414006324461,0.103614431532326,0.216864349649382,0.107839939461161,0.0722962570902559,0.481441918558057
"47","TCGA-OR-A5JC-01A",0.110703087815032,0.103866239464803,0.217518991503735,0.109130254358856,0.0758161553087693,0.481858445199988
"48","TCGA-OR-A5JS-01A",0.111107253580585,0.103505182568655,0.218575162786847,0.109435196208947,0.067463905336728,0.482701780395961
"49","TCGA-OR-A5LS-01A",0.111469635632453,0.104110739807736,0.215660925118675,0.106120615347145,0.0701314761032634,0.477258733656573
"50","TCGA-OR-A5KV-01A",0.111971514113387,0.107648467555137,0.209804995084585,0.10584774325938,0.0678294489721351,0.481081771422105
"51","TCGA-OR-A5JJ-01A",0.112758825643321,0.108292362751436,0.225227465857295,0.106561713493983,0.0694876092624868,0.483250158992367
"52","TCGA-OR-A5JF-01A",0.111288925099293,0.104381935341868,0.212283493283164,0.105939346775863,0.0729257226735183,0.473235619144529
"53","TCGA-P6-A5OG-01A",0.120428914299964,0.110083011126586,0.256867857683962,0.137697289825956,0.101444137479914,0.495426682278506
"54","TCGA-PA-A5YG-01A",0.113710746258527,0.111241304099891,0.233641489243376,0.115610358622449,0.0892464526864322,0.488679263032237
"55","TCGA-OR-A5KZ-01A",0.111192969374869,0.102314655039351,0.23635107197345,0.114121250524256,0.0799437582860458,0.488136798014823
"56","TCGA-OR-A5J8-01A",0.120156073572574,0.111150878227377,0.254313119240792,0.134725575472676,0.110552049344132,0.506360320263881
"57","TCGA-PK-A5HB-01A",0.113316801878009,0.104819858610204,0.216375153466747,0.108051655934927,0.0746717571629249,0.486613453559052
"58","TCGA-OR-A5K9-01A",0.112290040914004,0.106607412305323,0.206324249714039,0.106039644425676,0.0717563511553011,0.480379471218236
"59","TCGA-OR-A5JZ-01A",0.123431680465359,0.0992264524450068,0.226780398817219,0.112828495239309,0.0842517520574617,0.482497639605026
"60","TCGA-OR-A5JD-01A",0.1112024246115,0.10290662447337,0.226913637725076,0.112111566881397,0.0788050292822638,0.482971807129023
"61","TCGA-OR-A5JY-01A",0.115729636262263,0.100693816860861,0.218064470833122,0.116990133716927,0.0816587724840767,0.48547375288617
"62","TCGA-OR-A5LR-01A",0.112231915514555,0.1080551730685,0.222894603832029,0.110553461003497,0.0744615080714011,0.490756949496193
"63","TCGA-OR-A5LM-01A",0.111492858197731,0.102977286269324,0.210422600906269,0.107901588304286,0.0741336026672169,0.477660348375016
"64","TCGA-OR-A5LD-01A",0.106190494524065,0.102579683647606,0.204788156024669,0.102223774366744,0.0555538980188478,0.472089527328792
"65","TCGA-OR-A5KY-01A",0.115129076761737,0.109021197918779,0.212305867188819,0.112184282557728,0.0808083607551946,0.484227458390389
"66","TCGA-OR-A5LA-01A",0.110081217834142,0.105397692882583,0.224586374529176,0.107282241856615,0.0783830523240605,0.480468270692123
"67","TCGA-P6-A5OF-01A",0.111083461589877,0.110744952898233,0.213715504684023,0.113433043434723,0.0827241976521227,0.482138175880539
"68","TCGA-OR-A5LG-01A",0.112235451126568,0.107545844381513,0.216106951141589,0.111830177556957,0.0852865092384704,0.486272324586501
"69","TCGA-OR-A5J1-01A",0.108541788541594,0.110683079297324,0.213197397627925,0.111780332156517,0.0741285870049578,0.482710181163476
"70","TCGA-OR-A5L4-01A",0.11373145523825,0.103050630796124,0.219767379722547,0.108108112822508,0.0743776883807874,0.481660169501825
"71","TCGA-OR-A5KX-01A",0.113079552363568,0.102768301440986,0.215905382630092,0.109122274805908,0.0799072612726376,0.473800028619705
"72","TCGA-OR-A5K1-01A",0.112415704125622,0.105156775965025,0.232540676419795,0.109648088735885,0.0691165025818831,0.482894722160316
"73","TCGA-OR-A5L9-01A",0.10688470703364,0.102936958634637,0.213702516408037,0.103449399523,0.0607045782426344,0.476480212431279
"74","TCGA-OR-A5KT-01A",0.124301694467914,0.108292336119705,0.236453018914728,0.120142812112793,0.0957778707973407,0.496636081391609
"75","TCGA-OR-A5J6-01A",0.11532806975343,0.102561920512779,0.221619114475442,0.116324188678279,0.0905115498604744,0.489163411516369
"76","TCGA-OR-A5KU-01A",0.108666553576047,0.107792170222643,0.213681176638359,0.105761572280643,0.0658928369575602,0.481961467639284
